file,path,type,included,tables_extracted,rows_extracted
2000 TandF world mens list T&F news no RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2000 TandF world mens list T&F news no RT.xlsx,XLSX,NO,0,0
2000 TandF world mens ranking T&F news no RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2000 TandF world mens ranking T&F news no RT.xlsx,XLSX,NO,0,0
2000 TandF world record holders it seems as of this date incl birthdates.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2000 TandF world record holders it seems as of this date incl birthdates.xlsx,XLSX,NO,0,0
2001 2002 2003 world mens list t&f news no RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2001 2002 2003 world mens list t&f news no RT.xlsx,XLSX,NO,0,0
2001 Extract TandF weltklasse Zurich with RT W NAT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2001 Extract TandF weltklasse Zurich with RT W NAT.xlsx,XLSX,YES,11,96
2001 TandF USATF Eugene Oregon no RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2001 TandF USATF Eugene Oregon no RT.xlsx,XLSX,NO,0,0
2001 TandF USATF Eugene Oregon suspected no RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2001 TandF USATF Eugene Oregon suspected no RT.xlsx,XLSX,NO,0,0
2001 TandF edmonton with RT.docx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2001 TandF edmonton with RT.docx,DOCX,NO,0,0
2001 TandF tokyo screen grab with RT.docx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2001 TandF tokyo screen grab with RT.docx,DOCX,NO,0,0
2002 2003 2004 TandF Br champ and IAAF NO RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2002 2003 2004 TandF Br champ and IAAF NO RT.xlsx,XLSX,NO,0,0
2002 2003 TandF EXTRACT Eur Championships with RT IV.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2002 2003 TandF EXTRACT Eur Championships with RT IV.xlsx,XLSX,NO,0,0
2002 2003 TandF Eur Championships with RT IV.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2002 2003 TandF Eur Championships with RT IV.xlsx,XLSX,NO,0,0
2002 EXTRACT TandF Eur Champsionships II with RT DOB CNTRY .xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2002 EXTRACT TandF Eur Champsionships II with RT DOB CNTRY .xlsx,XLSX,NO,0,0
2002 EXTRACT TandF Eur Champsionships with RT DOB CNTRY.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2002 EXTRACT TandF Eur Champsionships with RT DOB CNTRY.xlsx,XLSX,NO,0,0
2002 Extract TandF Zurich Weltklasse with RT W Nat.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2002 Extract TandF Zurich Weltklasse with RT W Nat.xlsx,XLSX,YES,8,64
2002 TandF EXTRACT Eur CHampionships with RT III.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2002 TandF EXTRACT Eur CHampionships with RT III.xlsx,XLSX,NO,0,0
2002 TandF Eur CHampionships with RT III.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2002 TandF Eur CHampionships with RT III.xlsx,XLSX,NO,0,0
2002 TandF Eur Championships with RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2002 TandF Eur Championships with RT.xlsx,XLSX,NO,0,0
2002 TandF Eur Champsionships with RT II.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2002 TandF Eur Champsionships with RT II.xlsx,XLSX,NO,0,0
